anomes;datetime;vento_u_superficie;precipitacao
202211;05/11/2022 06:00;-0.40108645;0
202211;05/11/2022 09:00;1.291.016;0
202211;05/11/2022 12:00;10.427.662;0
202211;05/11/2022 15:00;-15.958.593;0
202211;05/11/2022 18:00;-21.518.333;0
202211;05/11/2022 21:00;47.911.425;0
202211;06/11/2022 00:00;0.5988659;0
202211;06/11/2022 03:00;-16.543.669;0.00022949919
202211;06/11/2022 06:00;-0.27740103;0
202211;06/11/2022 09:00;-1.173.151;0
202211;06/11/2022 12:00;-0.24350353;0.00011230812
202211;06/11/2022 15:00;-0.76917386;0
202211;06/11/2022 18:00;-0.17831598;0
202211;06/11/2022 21:00;0.8846461;0
202211;07/11/2022 00:00;-0.1532664;0
202211;07/11/2022 03:00;-108.683;0
202211;07/11/2022 06:00;-1.400.072;0
202210;28/10/2022 03:00;-0.42135075;0
202210;28/10/2022 06:00;-14.411.474;0.00066837977
202210;28/10/2022 09:00;-0.29943296;0
202210;28/10/2022 12:00;-28.771.777;0
202210;28/10/2022 15:00;-0.64215827;0
202210;28/10/2022 18:00;-16.205.378;0
202210;28/10/2022 21:00;21.784.942;0
202210;29/10/2022 00:00;-0.8672042;0.0001317423
202210;29/10/2022 03:00;36.211.457;0
202210;29/10/2022 06:00;13.423.164;0
202210;29/10/2022 09:00;-0.31666982;0
202210;29/10/2022 12:00;-1.179.997;0
202210;29/10/2022 15:00;-1.701.175;0
202210;29/10/2022 18:00;0.14423291;0
202210;29/10/2022 21:00;-1.920.918;0
202210;30/10/2022 00:00;0.39627185;0
202210;30/10/2022 03:00;0.4899759;0
202210;30/10/2022 06:00;-10.758.629;0
202210;30/10/2022 09:00;0.05282388;0
202210;30/10/2022 12:00;19.959.984;0
202210;30/10/2022 15:00;-0.024737082;0.0000023438215
202210;30/10/2022 18:00;16.998.467;0
202210;30/10/2022 21:00;0.33028352;0
202210;31/10/2022 00:00;-0.9975793;0
202210;31/10/2022 03:00;-18.704.575;0
202210;31/10/2022 06:00;2.532.382;0
202210;31/10/2022 09:00;-22.164.445;0
202210;31/10/2022 12:00;0.16924344;0
202210;31/10/2022 15:00;-11.120.554;0
202210;31/10/2022 18:00;-0.7078341;0
202210;31/10/2022 21:00;0.144897;0
202210;28/10/2022 09:00;-0.65935606;0
202210;28/10/2022 12:00;12.776.171;0.000053614916
202210;28/10/2022 15:00;-15.958.593;0.00022481155
202210;28/10/2022 18:00;-19.245.704;0
202210;28/10/2022 21:00;-0.15196753;0
202210;29/10/2022 00:00;34.143.717;0
202210;29/10/2022 03:00;-0.62957;0
202210;29/10/2022 06:00;15.504.184;0
202210;29/10/2022 09:00;-14.910.221;0.0000756859
202210;29/10/2022 12:00;18.517.264;0
202210;29/10/2022 15:00;10.509.305;0
202210;29/10/2022 18:00;-0.91212744;0
202210;29/10/2022 21:00;-0.40108645;0.000053614916
202210;30/10/2022 00:00;-0.5966686;0.00025410933
202210;30/10/2022 03:00;1.291.016;0.0030505813
202210;30/10/2022 06:00;-163.671;0
202210;30/10/2022 09:00;-0.4477871;0
202210;30/10/2022 12:00;-24.454.653;0
202210;30/10/2022 15:00;4.320.278;0
202210;30/10/2022 18:00;-18.599.885;0.0026790856
202210;30/10/2022 21:00;-108.683;0
202210;31/10/2022 00:00;0.31172827;0
202210;31/10/2022 03:00;-0.1532664;0.0026945157
202210;31/10/2022 06:00;10.427.662;0
202210;31/10/2022 09:00;12.601.655;0
202210;31/10/2022 12:00;-20.110.378;0
202210;31/10/2022 15:00;11.743.621;0
202210;31/10/2022 18:00;-0.27740103;0
202210;31/10/2022 21:00;60.049.586;0
202210;28/10/2022 09:00;59.080.515;0
